pca_1	pca_2	pca_3	pca_4	pca_5	pca_6	pca_7	pca_8	imid	t	label	im_input	input_only
-0.4572307553625834	-2.453204426478763	-1.390725261687024	-0.4111015057988854	0.0359787466404096	-1.089466136422838	1.0076997994548045	1.0062258571024176	0	0	0	True	True
-1.9164139200766448	-3.3534011542166695	-1.5827757517955483	0.2703145158667223	-0.4790541118470403	-2.885756663043018	-0.9036895710276124	-0.7935249342836203	0	1	0	True	True
-3.186587644005144	-3.2378738181845406	0.0704792847764097	-0.33039493515789464	0.6675042537292446	-1.3163080834021261	0.3914280966892105	-0.46446619752919965	0	2	0	True	True
-3.011669090058388	-0.6720899111563353	-2.3974901353613074	-2.6899038864752116	-0.7436358298076426	-1.120551464704976	0.6336922091624547	1.3500272110973561	0	3	0	True	True
-2.6412887085742707	-0.2161371430526269	-0.7346623832077375	-0.8607148938406654	1.905836323883303	-0.5557626258240717	-0.690880819608645	1.6286214257108733	0	4	0	True	True
-0.07898651107536968	-0.383318285119422	-3.266041143140019	1.3639640285594161	1.1628703594097223	-2.1281553615242905	1.6583796739521086	1.248512159925898	0	5	0	True	True
-3.682576431487484	-0.1338353336925978	-1.0873565875550124	0.8382221418019775	-0.8001975934696487	-1.0540990383870403	1.8936705352754737	0.24279869758522307	0	6	0	True	True
-2.482924807210113	-3.3576005650529774	2.667283652761789	1.5591091655348863	1.446332288028865	0.37447682724390263	-0.7104254779432442	0.7849269773317904	0	7	0	True	True
0.9035113181241569	-2.907922098324709	0.1491345253495964	1.780374824031067	2.9248547254725255	-0.6739881162794775	-0.28608774714414753	0.9133130917181261	0	8	0	True	True
-0.8487019641309482	-0.46587463572507315	-2.105469871185676	1.896418646270568	-0.22411245253676784	-1.1050319392517405	2.947865711911555	1.2023627548630087	0	9	0	True	True
-2.2681878570642082	-3.6481344514185996	-1.8115559233029999	2.2342508986026988	-1.9632660224351681	-2.7889861196674786	2.729650538746566	-0.7060492282607024	0	10	0	True	True
-0.3830392169863234	-1.7363204790537816	-2.1169707377006812	1.7284946039470686	2.0215073001697923	-2.359037211090077	0.934023191129035	1.0350624890827063	0	11	0	True	True
-2.8342838812564977	-0.10173891003783	0.4397203268588247	2.0082343233266267	-0.46391482090202546	0.0762638241280049	2.2016899018984253	1.4392167726309266	0	12	0	True	True
-1.531939228133597	-2.5440341941148574	0.47796101981011635	0.6626217059608458	1.856972682408859	-0.4059658380631716	-1.021789105564984	1.368329724109692	0	13	0	True	True
-2.4875918540478232	0.40299996061345084	-2.4450807708071305	0.02976181128861684	-1.3823617002921407	-1.5433381765245016	1.928206452815268	1.2369918167668337	0	14	0	True	True
